Id,Response
1,2
3,7
4,7
9,7
12,8
13,8
21,6
28,8
30,5
36,8
38,8
43,7
45,3
48,8
50,6
51,7
54,6
55,8
59,8
62,3
63,8
66,8
69,8
82,8
83,6
84,7
86,8
89,8
90,3
92,7
98,6
100,1
105,5
115,8
119,1
124,1
127,8
133,7
140,5
141,8
143,2
151,3
154,8
157,8
163,5
166,1
168,8
170,5
173,8
180,6
182,8
184,4
185,8
195,8
196,6
197,5
212,4
213,8
219,8
225,3
227,4
232,4
239,5
247,4
251,5
254,4
261,6
264,7
267,8
272,7
275,8
277,2
283,7
284,1
287,7
291,8
293,4
294,3
305,7
307,4
309,8
311,4
322,3
323,3
326,6
330,1
335,8
337,8
338,4
341,1
346,5
348,5
352,3
356,8
358,2
366,7
369,4
373,5
375,2
381,5
384,8
386,4
396,7
397,1
399,8
405,8
412,8
417,2
421,4
425,7
427,8
430,3
432,5
433,8
436,8
438,8
441,8
442,5
444,5
446,8
448,7
450,5
454,8
465,8
470,5
472,3
475,8
484,8
495,7
497,8
498,8
501,4
502,6
505,8
515,4
516,6
527,8
529,2
531,8
533,6
537,1
541,8
546,8
548,6
549,8
550,7
553,7
559,8
561,2
564,1
574,4
578,8
579,6
580,8
582,6
584,8
588,6
596,4
602,3
603,2
613,7
614,1
619,8
620,7
624,4
625,8
628,5
630,7
635,7
636,3
637,8
641,8
644,8
648,8
654,8
658,4
664,8
666,7
667,8
670,8
672,6
674,8
676,8
684,8
685,4
693,2
694,7
700,2
702,7
703,5
705,5
711,8
718,1
722,7
726,4
727,3
732,8
735,8
740,4
748,7
750,7
751,8
756,7
762,7
766,8
770,7
771,3
779,7
782,3
784,8
793,6
798,4
800,6
801,7
805,6
807,3
813,8
819,8
820,7
822,8
823,7
833,8
834,4
842,2
845,7
856,5
860,4
864,3
869,7
872,7
877,4
878,7
893,6
894,8
896,5
899,5
900,7
911,1
914,8
917,1
919,7
923,1
925,5
926,3
934,6
938,7
940,6
955,5
956,6
971,7
973,8
978,8
979,8
981,8
988,7
990,8
992,2
996,8
997,5
999,4
1000,8
1006,7
1009,2
1018,6
1025,5
1038,7
1042,7
1045,5
1046,8
1047,7
1050,5
1052,7
1054,8
1057,7
1061,1
1069,5
1071,7
1073,6
1074,8
1075,3
1083,5
1084,1
1089,4
1099,5
1103,4
1110,8
1123,7
1130,7
1135,7
1137,8
1145,8
1147,3
1152,8
1153,1
1154,7
1158,8
1166,7
1170,8
1172,7
1178,4
1179,8
1181,2
1182,8
1183,8
1191,7
1192,1
1200,2
1205,7
1207,6
1208,2
1209,3
1217,3
1223,8
1225,8
1226,3
1228,3
1230,5
1232,8
1235,8
1237,5
1257,7
1266,1
1267,5
1274,8
1277,8
1278,6
1280,8
1282,8
1293,6
1294,3
1305,8
1306,7
1311,7
1318,5
1320,8
1323,7
1325,3
1328,5
1336,4
1340,8
1341,8
1344,7
1345,7
1348,1
1358,1
1361,8
1364,4
1373,8
1377,4
1378,7
1380,7
1382,7
1383,4
1386,8
1387,1
1390,3
1395,8
1398,7
1402,2
1403,8
1405,8
1407,7
1410,1
1412,2
1419,4
1426,7
1428,8
1436,7
1437,3
1438,4
1441,8
1444,3
1448,2
1454,4
1457,5
1459,8
1463,7
1467,1
1471,6
1475,5
1476,5
1480,8
1481,1
1482,5
1489,6
1491,7
1494,8
1496,8
1500,8
1501,8
1503,7
1504,4
1505,3
1515,3
1517,6
1520,6
1521,3
1523,8
1526,8
1529,5
1530,7
1543,5
1544,8
1547,6
1550,8
1552,5
1554,6
1563,7
1574,7
1575,3
1576,4
1579,4
1582,1
1584,8
1585,8
1589,5
1596,7
1598,2
1611,7
1613,3
1615,7
1618,4
1627,7
1630,2
1638,7
1639,7
1640,8
1642,6
1645,7
1648,7
1654,4
1661,7
1662,8
1663,8
1666,4
1668,1
1670,1
1672,7
1681,6
1682,7
1683,2
1687,8
1688,8
1693,7
1694,6
1700,8
1704,6
1712,8
1716,8
1717,7
1722,4
1724,4
1738,1
1739,1
1740,8
1761,8
1763,7
1765,8
1766,7
1767,7
1771,5
1772,7
1777,7
1784,3
1799,6
1806,7
1810,1
1812,3
1814,1
1818,7
1819,8
1822,5
1823,8
1824,1
1834,4
1835,7
1844,4
1848,6
1849,8
1850,5
1851,2
1856,3
1862,1
1863,7
1872,6
1874,3
1875,8
1877,7
1900,7
1902,6
1904,5
1905,2
1908,8
1914,8
1916,1
1922,3
1933,7
1934,5
1939,7
1942,6
1947,8
1957,8
1971,8
1973,2
1974,6
1977,7
1981,6
1985,8
1987,7
1989,8
2001,3
2002,1
2007,1
2008,8
2011,4
2021,7
2034,7
2040,8
2044,3
2045,8
2048,8
2051,8
2062,8
2066,1
2068,6
2069,4
2074,7
2075,8
2078,7
2079,1
2080,2
2081,4
2084,1
2085,8
2087,7
2096,5
2102,7
2103,7
2107,8
2117,5
2118,2
2120,7
2121,3
2122,3
2130,7
2136,1
2138,8
2140,8
2143,7
2144,5
2145,4
2147,7
2150,2
2154,8
2155,2
2166,4
2169,3
2173,4
2176,1
2178,7
2179,4
2180,8
2184,8
2185,8
2188,5
2190,7
2194,7
2195,8
2198,4
2205,8
2206,7
2207,2
2212,6
2213,7
2216,8
2218,1
2224,7
2225,8
2228,8
2236,5
2242,8
2246,5
2250,8
2255,7
2256,1
2267,5
2268,7
2269,5
2272,6
2275,2
2280,8
2282,8
2287,7
2289,8
2293,8
2296,7
2307,6
2309,7
2313,6
